Time (s),TMP117 Temp (C),SHTC3 Temp (C),SHTC Humidity (%),Micro Pressure (psi),BME280 Temp (C),BME280 Press. (Pa),BME280 Humidity (%),BME280 Altitude (m),CCS811 tVOC (ppb),CCS811 CO2 (ppm)
4.209397792816162,22.453125,0,0,0,0,0,0,0,0,400
4.276015520095825,22.453125,0,0,0,0,0,0,0,0,400
4.3305230140686035,22.4453125,0,0,0,0,0,0,0,0,400
4.382889747619629,22.4453125,0,0,0,0,0,0,0,0,400
4.434390068054199,22.4609375,0,0,0,0,0,0,0,0,400
4.488208770751953,22.4609375,0,0,0,0,0,0,0,0,400
4.539881229400635,22.453125,0,0,0,0,0,0,0,0,400
4.591904640197754,22.453125,0,0,0,0,0,0,0,0,400
4.6435723304748535,22.453125,0,0,0,0,0,0,0,0,400
4.695317506790161,22.453125,0,0,0,0,0,0,0,0,400
4.747209072113037,22.453125,0,0,0,0,0,0,0,0,400
4.798813581466675,22.4609375,0,0,0,0,0,0,0,0,400
4.851401329040527,22.4609375,0,0,0,0,0,0,0,0,400
4.903036117553711,22.4453125,0,0,0,0,0,0,0,0,400
4.955355405807495,22.4453125,0,0,0,0,0,0,0,0,400
5.007023334503174,22.4453125,0,0,0,0,0,0,0,0,400
5.058702707290649,22.453125,0,0,0,0,0,0,0,0,400
5.110573053359985,22.453125,0,0,0,0,0,0,0,0,400
5.162039518356323,22.453125,0,0,0,0,0,0,0,0,400
5.213768720626831,22.453125,0,0,0,0,0,0,0,0,400
5.265273332595825,22.453125,0,0,0,0,0,0,0,0,400
5.316658973693848,22.453125,0,0,0,0,0,0,0,0,400
5.368620157241821,22.453125,0,0,0,0,0,0,0,0,400
5.420053005218506,22.453125,0,0,0,0,0,0,0,0,400
5.471860408782959,22.453125,0,0,0,0,0,0,0,0,400
5.523243188858032,22.4453125,0,0,0,0,0,0,0,0,400
5.574872255325317,22.4453125,0,0,0,0,0,0,0,0,400
5.626241445541382,22.4453125,0,0,0,0,0,0,0,0,400
5.678160667419434,22.453125,0,0,0,0,0,0,0,0,400
5.729924917221069,22.453125,0,0,0,0,0,0,0,0,400
5.78135871887207,22.453125,0,0,0,0,0,0,0,0,400
5.833360910415649,22.453125,0,0,0,0,0,0,0,0,400
5.88490104675293,22.453125,0,0,0,0,0,0,0,0,400
5.936738014221191,22.453125,0,0,0,0,0,0,0,0,400
5.98831582069397,22.453125,0,0,0,0,0,0,0,0,400
6.0398194789886475,22.453125,0,0,0,0,0,0,0,0,400
6.091732501983643,22.453125,0,0,0,0,0,0,0,0,400
6.143102407455444,22.453125,0,0,0,0,0,0,0,0,400
6.195250749588013,22.453125,0,0,0,0,0,0,0,0,400
6.247018337249756,22.453125,0,0,0,0,0,0,0,0,400
6.298868894577026,22.453125,0,0,0,0,0,0,0,0,400
6.350618362426758,22.453125,0,0,0,0,0,0,0,0,400
6.402491092681885,22.453125,0,0,0,0,0,0,0,0,400
6.454458475112915,22.453125,0,0,0,0,0,0,0,0,400
6.506219387054443,22.453125,0,0,0,0,0,0,0,0,400
6.558990716934204,22.453125,0,0,0,0,0,0,0,0,400
6.610553503036499,22.453125,0,0,0,0,0,0,0,0,400
6.610553503036499,22.453125,0,0,0,0,0,0,0,0,400
6.66242790222168,22.4453125,0,0,0,0,0,0,0,0,400
6.714860677719116,22.4453125,0,0,0,0,0,0,0,0,400
6.767067193984985,22.453125,0,0,0,0,0,0,0,0,400
6.8199379444122314,22.453125,0,0,0,0,0,0,0,0,400
6.871338367462158,22.453125,0,0,0,0,0,0,0,0,400
6.923341751098633,22.453125,0,0,0,0,0,0,0,0,400
6.975006580352783,22.453125,0,0,0,0,0,0,0,0,400
7.026561975479126,22.453125,0,0,0,0,0,0,0,0,400
7.078351974487305,22.453125,0,0,0,0,0,0,0,0,400
7.129761219024658,22.453125,0,0,0,0,0,0,0,0,400
7.182192802429199,22.453125,0,0,0,0,0,0,0,0,400
7.233841896057129,22.453125,0,0,0,0,0,0,0,0,400
7.286307096481323,22.453125,0,0,0,0,0,0,0,0,400
7.337919235229492,22.453125,0,0,0,0,0,0,0,0,400
7.389239072799683,22.4453125,0,0,0,0,0,0,0,0,400
7.440905570983887,22.4453125,0,0,0,0,0,0,0,0,400
7.492312431335449,22.4453125,0,0,0,0,0,0,0,0,400
7.544154167175293,22.4453125,0,0,0,0,0,0,0,0,400
7.595910310745239,22.453125,0,0,0,0,0,0,0,0,400
7.647767066955566,22.453125,0,0,0,0,0,0,0,0,400
7.699216604232788,22.453125,0,0,0,0,0,0,0,0,400
7.750579357147217,22.453125,0,0,0,0,0,0,0,0,400
7.8024091720581055,22.453125,0,0,0,0,0,0,0,0,400
7.853771686553955,22.453125,0,0,0,0,0,0,0,0,400
7.905857086181641,22.453125,0,0,0,0,0,0,0,0,400
7.957241058349609,22.453125,0,0,0,0,0,0,0,0,400
8.008829116821289,22.453125,0,0,0,0,0,0,0,0,400
8.060485363006592,22.453125,0,0,0,0,0,0,0,0,400
8.111938238143921,22.453125,0,0,0,0,0,0,0,0,400
8.164855241775513,22.453125,0,0,0,0,0,0,0,0,400
8.220662117004395,22.4609375,0,0,0,0,0,0,0,0,400
8.272488355636597,22.4609375,0,0,0,0,0,0,0,0,400
8.326091766357422,22.4609375,0,0,0,0,0,0,0,0,400
8.377420425415039,22.453125,0,0,0,0,0,0,0,0,400
8.429852724075317,22.453125,0,0,0,0,0,0,0,0,400
8.481197834014893,22.4609375,0,0,0,0,0,0,0,0,400
8.534015417098999,22.4609375,0,0,0,0,0,0,0,0,400
8.585578441619873,22.453125,0,0,0,0,0,0,0,0,400
8.640990257263184,22.453125,0,0,0,0,0,0,0,0,400
8.640990257263184,22.453125,0,0,0,0,0,0,0,0,400
8.696197986602783,22.453125,0,0,0,0,0,0,0,0,400
8.748100996017456,22.453125,0,0,0,0,0,0,0,0,400
8.800354242324829,22.453125,0,0,0,0,0,0,0,0,400
8.852000951766968,22.453125,0,0,0,0,0,0,0,0,400
8.92438554763794,22.453125,0,0,0,0,0,0,0,0,400
8.976901292800903,22.453125,0,0,0,0,0,0,0,0,400
9.028940200805664,22.453125,0,0,0,0,0,0,0,0,400
9.080486297607422,22.4609375,0,0,0,0,0,0,0,0,400
9.132310628890991,22.4609375,0,0,0,0,0,0,0,0,400
9.18393063545227,22.4609375,0,0,0,0,0,0,0,0,400
9.235645055770874,22.4609375,0,0,0,0,0,0,0,0,400
9.287575244903564,22.4609375,0,0,0,0,0,0,0,0,400
9.33922266960144,22.4609375,0,0,0,0,0,0,0,0,400
9.391422986984253,22.4609375,0,0,0,0,0,0,0,0,400
9.443087577819824,22.4609375,0,0,0,0,0,0,0,0,400
9.495609045028687,22.4609375,0,0,0,0,0,0,0,0,400
9.546872615814209,22.4609375,0,0,0,0,0,0,0,0,400
9.598201751708984,22.4609375,0,0,0,0,0,0,0,0,400
9.650034427642822,22.4609375,0,0,0,0,0,0,0,0,400
9.701560735702515,22.4609375,0,0,0,0,0,0,0,0,400
9.753520965576172,22.4609375,0,0,0,0,0,0,0,0,400
9.805474281311035,22.4609375,0,0,0,0,0,0,0,0,400
9.857341289520264,22.4609375,0,0,0,0,0,0,0,0,400
9.909260034561157,22.4609375,0,0,0,0,0,0,0,0,400
9.960657835006714,22.453125,0,0,0,0,0,0,0,0,400
10.012380361557007,22.453125,0,0,0,0,0,0,0,0,400
10.063715934753418,22.4609375,0,0,0,0,0,0,0,0,400
10.115887641906738,22.4609375,0,0,0,0,0,0,0,0,400
10.171332120895386,22.4609375,0,0,0,0,0,0,0,0,400
10.224990606307983,22.4609375,0,0,0,0,0,0,0,0,400
10.276984691619873,22.4609375,0,0,0,0,0,0,0,0,400
10.328621864318848,22.4609375,0,0,0,0,0,0,0,0,400
10.328621864318848,22.4609375,0,0,0,0,0,0,0,0,400
10.390318870544434,22.4609375,0,0,0,0,0,0,0,0,400
10.441912174224854,22.4609375,0,0,0,0,0,0,0,0,400
10.493660688400269,22.4609375,0,0,0,0,0,0,0,0,400
10.561362266540527,22.4609375,0,0,0,0,0,0,0,0,400
10.613397598266602,22.4609375,0,0,0,0,0,0,0,0,400
10.670408487319946,22.4609375,0,0,0,0,0,0,0,0,400
10.722280740737915,22.4609375,0,0,0,0,0,0,0,0,400
10.773834943771362,22.4609375,0,0,0,0,0,0,0,0,400
10.830445766448975,22.4609375,0,0,0,0,0,0,0,0,400
10.882210969924927,22.4609375,0,0,0,0,0,0,0,0,400
10.933737993240356,22.4609375,0,0,0,0,0,0,0,0,400
10.988534927368164,22.4609375,0,0,0,0,0,0,0,0,400
