Time (s),TMP117 Temp (C),SHTC3 Temp (C),SHTC Humidity (%),Micro Pressure (psi),BME280 Temp (C),BME280 Press. (Pa),BME280 Humidity (%),BME280 Altitude (m),CCS811 tVOC (ppb),CCS811 CO2 (ppm)
4.205405235290527,0,0,0,0,0,0,0,0,0,400
4.257321357727051,0,0,0,0,0,0,0,0,0,400
4.30889892578125,0,0,0,0,0,0,0,0,0,400
4.3603835105896,0,0,0,0,0,0,0,0,0,400
4.41185450553894,0,0,0,0,0,0,0,0,0,400
4.463364124298096,0,0,0,0,0,0,0,0,0,400
4.515009164810181,0,0,0,0,0,0,0,0,0,400
4.5666069984436035,0,0,0,0,0,0,0,0,0,400
4.6180994510650635,0,0,0,0,0,0,0,0,0,400
4.669936418533325,0,0,0,0,0,0,0,0,0,400
4.721629858016968,0,0,0,0,0,0,0,0,0,400
4.773633718490601,0,0,0,0,0,0,0,0,0,400
4.825559139251709,0,0,0,0,0,0,0,0,0,400
4.877451181411743,0,0,0,0,0,0,0,0,0,400
4.929494380950928,0,0,0,0,0,0,0,0,0,400
4.981143474578857,0,0,0,0,0,0,0,0,0,400
5.032783508300781,0,0,0,0,0,0,0,0,0,400
5.084445953369141,0,0,0,0,0,0,0,0,0,403
5.13616681098938,0,0,0,0,0,0,0,0,0,403
5.1877381801605225,0,0,0,0,0,0,0,0,0,403
5.239427804946899,0,0,0,0,0,0,0,0,0,403
5.291266918182373,0,0,0,0,0,0,0,0,0,403
5.291266918182373,0,0,0,0,0,0,0,0,0,403
5.342981815338135,0,0,0,0,0,0,0,0,0,403
5.3948750495910645,0,0,0,0,0,0,0,0,0,403
5.447431325912476,0,0,0,0,0,0,0,0,0,403
5.498903512954712,0,0,0,0,0,0,0,0,0,403
5.550620794296265,0,0,0,0,0,0,0,0,0,403
5.602133512496948,0,0,0,0,0,0,0,0,0,403
5.6540937423706055,0,0,0,0,0,0,0,0,0,403
5.705712556838989,0,0,0,0,0,0,0,0,0,403
5.757330417633057,0,0,0,0,0,0,0,0,0,403
5.80904746055603,0,0,0,0,0,0,0,0,0,403
5.860534429550171,0,0,0,0,0,0,0,0,0,403
5.912113904953003,0,0,0,0,0,0,0,0,0,403
5.964036703109741,0,0,0,0,0,0,0,0,0,403
6.01567816734314,0,0,0,0,0,0,0,0,0,403
6.0674073696136475,0,0,0,0,0,0,0,0,0,403
6.120229482650757,0,0,0,0,0,0,0,0,0,403
6.171926259994507,0,0,0,0,0,0,0,0,0,403
6.223610162734985,0,0,0,0,0,0,0,0,0,403
6.276055097579956,0,0,0,0,0,0,0,0,0,403
6.327564001083374,0,0,0,0,0,0,0,0,0,403
6.379347801208496,0,0,0,0,0,0,0,0,0,403
6.431127071380615,0,0,0,0,0,0,0,0,0,403
6.483453273773193,0,0,0,0,0,0,0,0,0,403
6.535314559936523,0,0,0,0,0,0,0,0,0,403
6.5868589878082275,0,0,0,0,0,0,0,0,0,403
6.638838529586792,0,0,0,0,0,0,0,0,0,403
